Time: 25.5 s, Throughput: 9.09056 Mbps, cwnd: 30551 bytes 
Time: 25.6 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 25.7 s, Throughput: 9.09056 Mbps, cwnd: 34303 bytes 
Time: 25.8 s, Throughput: 9.09056 Mbps, cwnd: 19295 bytes 
Time: 25.9 s, Throughput: 7.46112 Mbps, cwnd: 21975 bytes 
Time: 26 s, Throughput: 8.44736 Mbps, cwnd: 24119 bytes 
Time: 26.1 s, Throughput: 9.04768 Mbps, cwnd: 26799 bytes 
Time: 26.2 s, Throughput: 9.09056 Mbps, cwnd: 28943 bytes 
Time: 26.3 s, Throughput: 9.09056 Mbps, cwnd: 31087 bytes 
Time: 26.4 s, Throughput: 9.09056 Mbps, cwnd: 32695 bytes 
Time: 26.5 s, Throughput: 9.09056 Mbps, cwnd: 34839 bytes 
Time: 26.6 s, Throughput: 8.31872 Mbps, cwnd: 19831 bytes 
Time: 26.7 s, Throughput: 8.06144 Mbps, cwnd: 22511 bytes 
Time: 26.8 s, Throughput: 8.576 Mbps, cwnd: 25191 bytes 
Time: 26.9 s, Throughput: 9.09056 Mbps, cwnd: 27335 bytes 
Time: 27 s, Throughput: 9.09056 Mbps, cwnd: 29479 bytes 
Time: 27.1 s, Throughput: 9.09056 Mbps, cwnd: 31623 bytes 
Time: 27.2 s, Throughput: 9.09056 Mbps, cwnd: 33231 bytes 
Time: 27.3 s, Throughput: 8.27584 Mbps, cwnd: 35375 bytes 
Time: 27.4 s, Throughput: 8.7904 Mbps, cwnd: 20903 bytes 
Time: 27.5 s, Throughput: 8.06144 Mbps, cwnd: 23047 bytes 
Time: 27.6 s, Throughput: 8.91904 Mbps, cwnd: 25727 bytes 
Time: 27.7 s, Throughput: 9.09056 Mbps, cwnd: 27871 bytes 
Time: 27.8 s, Throughput: 9.09056 Mbps, cwnd: 30015 bytes 
Time: 27.9 s, Throughput: 9.04768 Mbps, cwnd: 32159 bytes 
Time: 28 s, Throughput: 9.09056 Mbps, cwnd: 33767 bytes 
Time: 28.1 s, Throughput: 9.09056 Mbps, cwnd: 29760 bytes 
