3.09968s	CWnd: 67016 KB
3.10062s	CWnd: 67020 KB
3.10156s	CWnd: 67024 KB
3.10251s	CWnd: 67028 KB
3.10345s	CWnd: 67032 KB
3.1044s	CWnd: 67036 KB
3.10534s	CWnd: 67040 KB
3.10628s	CWnd: 67044 KB
3.10723s	CWnd: 67048 KB
3.10817s	CWnd: 67052 KB
3.10912s	CWnd: 67056 KB
3.11006s	CWnd: 67060 KB
3.111s	CWnd: 67064 KB
3.11195s	CWnd: 67068 KB
3.11289s	CWnd: 67072 KB
3.11384s	CWnd: 67076 KB
3.11478s	CWnd: 67080 KB
3.11572s	CWnd: 67084 KB
3.11667s	CWnd: 67088 KB
3.11761s	CWnd: 67092 KB
3.11856s	CWnd: 67096 KB
3.1195s	CWnd: 67100 KB
3.12044s	CWnd: 67104 KB
3.12139s	CWnd: 67108 KB
3.12233s	CWnd: 67112 KB
3.12328s	CWnd: 67116 KB
3.12422s	CWnd: 67120 KB
3.12516s	CWnd: 67124 KB
3.12611s	CWnd: 67128 KB
3.12705s	CWnd: 67132 KB
3.128s	CWnd: 67136 KB
3.12894s	CWnd: 67140 KB
3.12988s	CWnd: 67144 KB
3.13083s	CWnd: 67148 KB
3.13177s	CWnd: 67152 KB
3.13272s	CWnd: 67156 KB
3.13366s	CWnd: 67160 KB
3.1346s	CWnd: 67164 KB
3.13555s	CWnd: 67168 KB
3.13649s	CWnd: 67172 KB
3.13744s	CWnd: 67176 KB
3.13838s	CWnd: 67180 KB
3.13932s	CWnd: 67184 KB
3.14027s	CWnd: 67188 KB
3.14121s	CWnd: 67192 KB
3.14216s	CWnd: 67196 KB
3.1431s	CWnd: 67200 KB
3.14404s	CWnd: 67204 KB
3.14499s	CWnd: 67208 KB
3.14593s	CWnd: 67212 KB
3.14688s	CWnd: 67216 KB
3.14782s	CWnd: 67220 KB
3.14876s	CWnd: 67224 KB
3.14971s	CWnd: 67228 KB
3.15065s	CWnd: 67232 KB
3.1516s	CWnd: 67236 KB
3.15254s	CWnd: 67240 KB
3.15348s	CWnd: 67244 KB
3.15443s	CWnd: 67248 KB
3.15537s	CWnd: 67252 KB
3.15632s	CWnd: 67256 KB
3.15726s	CWnd: 67260 KB
3.1582s	CWnd: 67264 KB
3.15915s	CWnd: 67268 KB
3.16009s	CWnd: 67272 KB
3.16104s	CWnd: 67276 KB
3.16198s	CWnd: 67280 KB
3.16292s	CWnd: 67284 KB
3.16387s	CWnd: 67288 KB
3.16481s	CWnd: 67292 KB
3.16576s	CWnd: 67296 KB
3.1667s	CWnd: 67300 KB
3.16764s	CWnd: 67304 KB
3.16859s	CWnd: 67308 KB
3.16953s	CWnd: 67312 KB
3.17048s	CWnd: 67316 KB
3.17142s	CWnd: 67320 KB
3.17236s	CWnd: 67324 KB
3.17331s	CWnd: 67328 KB
3.17425s	CWnd: 67332 KB
3.1752s	CWnd: 67336 KB
3.17614s	CWnd: 67340 KB
3.17708s	CWnd: 67344 KB
3.17803s	CWnd: 67348 KB
3.17897s	CWnd: 67352 KB
3.17992s	CWnd: 67356 KB
3.18086s	CWnd: 67360 KB
3.1818s	CWnd: 67364 KB
3.18275s	CWnd: 67368 KB
3.18369s	CWnd: 67372 KB
3.18464s	CWnd: 67376 KB
3.18558s	CWnd: 67380 KB
3.18652s	CWnd: 67384 KB
3.18747s	CWnd: 67388 KB
3.18841s	CWnd: 67392 KB
3.18936s	CWnd: 67396 KB
3.1903s	CWnd: 67400 KB
3.19124s	CWnd: 67404 KB
3.19219s	CWnd: 67408 KB
3.19313s	CWnd: 67412 KB
3.19408s	CWnd: 67416 KB
3.19502s	CWnd: 67420 KB
3.19596s	CWnd: 67424 KB
3.19691s	CWnd: 67428 KB
3.19785s	CWnd: 67432 KB
3.1988s	CWnd: 67436 KB
3.19974s	CWnd: 67440 KB
3.20068s	CWnd: 67444 KB
3.20163s	CWnd: 67448 KB
3.20257s	CWnd: 67452 KB
3.20352s	CWnd: 67456 KB
3.20446s	CWnd: 67460 KB
3.2054s	CWnd: 67464 KB
3.20635s	CWnd: 67468 KB
3.20729s	CWnd: 67472 KB
3.20824s	CWnd: 67476 KB
3.20918s	CWnd: 67480 KB
3.21012s	CWnd: 67484 KB
3.21107s	CWnd: 67488 KB
3.21201s	CWnd: 67492 KB
3.21296s	CWnd: 67496 KB
3.2139s	CWnd: 67500 KB
3.21484s	CWnd: 67504 KB
3.21579s	CWnd: 67508 KB
3.21673s	CWnd: 67512 KB
3.21768s	CWnd: 67516 KB
3.21862s	CWnd: 67520 KB
3.21956s	CWnd: 67524 KB
3.22051s	CWnd: 67528 KB
3.22145s	CWnd: 67532 KB
3.2224s	CWnd: 67536 KB
3.22334s	CWnd: 67540 KB
3.22428s	CWnd: 67544 KB
3.22523s	CWnd: 67548 KB
3.22617s	CWnd: 67552 KB
3.22712s	CWnd: 67556 KB
3.22806s	CWnd: 67560 KB
3.229s	CWnd: 67564 KB
3.22995s	CWnd: 67568 KB
3.23089s	CWnd: 67572 KB
3.23184s	CWnd: 67576 KB
3.23278s	CWnd: 67580 KB
3.23372s	CWnd: 67584 KB
